Date,Open,High,Low,Close,Adj Close,Volume
2019-04-30,118.949997,119.000000,115.000000,117.900002,117.430786,236809
2019-05-02,117.550003,119.800003,116.699997,117.300003,116.833176,142391
2019-05-03,118.000000,119.449997,117.000000,117.750000,117.281387,108697
2019-05-06,117.000000,118.750000,116.500000,117.300003,116.833176,156966
2019-05-07,119.000000,119.000000,115.599998,116.000000,115.538353,130045
2019-05-08,116.000000,117.099998,114.099998,114.949997,114.492523,92595
2019-05-09,114.650002,116.050003,112.500000,113.250000,112.799294,171415
2019-05-10,113.900002,117.750000,113.099998,116.599998,116.135963,175157
2019-05-13,115.900002,117.349998,112.349998,112.750000,112.301285,155968
2019-05-14,113.900002,122.000000,112.650002,120.800003,120.319252,767461
2019-05-15,121.000000,122.349998,118.699997,120.449997,119.970634,287582
2019-05-16,118.400002,123.000000,114.550003,121.300003,120.817261,647702
2019-05-17,122.050003,126.699997,121.199997,122.500000,122.012482,612328
2019-05-20,123.050003,126.599998,123.050003,125.349998,124.851135,317845
2019-05-21,125.349998,128.300003,124.500000,125.949997,125.448746,397958
2019-05-22,126.650002,128.449997,125.349998,127.250000,126.743576,232645
2019-05-23,128.000000,132.399994,127.199997,127.900002,127.390991,395265
2019-05-24,128.000000,138.800003,127.800003,138.199997,137.649994,542478
2019-05-27,137.949997,138.000000,134.600006,135.350006,135.350006,185317
2019-05-28,135.750000,137.600006,131.750000,132.750000,132.750000,237738
2019-05-29,136.899994,136.899994,130.600006,131.300003,131.300003,355444
