id,name,retailer,synonyms,status,Progress,date_created,date_updated,Matching Brand name,Confidence Score,Automated Status
4208035,RivoLite,walmart-us,,pending,,2018-08-29 18:21:53,,,,
4208036,LOCOMO Accessories,walmart-us,,pending,,2018-08-29 18:21:53,,,,
4208037,GreenHAUS,walmart-us,,pending,,2018-08-29 18:21:53,,,,
4208038,Indie Girl,walmart-us,,pending,,2018-08-29 18:21:53,,,,
4208039,EVS Sports,walmart-us,,pending,,2018-08-29 18:21:53,,,,
4208040,Brovado Socks,walmart-us,,pending,,2018-08-29 18:21:53,,,,
4208041,Hercaimy Enterprises,walmart-us,,pending,,2018-08-29 18:21:53,,,,
4208034,Nickelodeon/JoJo Siwa,walmart-us,,pending,,2018-08-29 18:21:52,,,,
4208031,Inspirational,walmart-us,,pending,,2018-08-29 18:21:51,,,,
4208032,Froot Loops Tucan Sam,walmart-us,,pending,,2018-08-29 18:21:51,,,,
4208033,Carter´s,walmart-us,,pending,,2018-08-29 18:21:51,,,,
4208029,Wildbill'S,walmart-us,,pending,,2018-08-29 18:21:50,,,,
4208030,COODO,walmart-us,,pending,,2018-08-29 18:21:50,,,,
4208026,4P11HQ-XL-700,walmart-us,,pending,,2018-08-29 18:21:49,,,,
4208027,FreeHands,walmart-us,,pending,,2018-08-29 18:21:49,,,,
4208028,Le Bouton,walmart-us,,pending,,2018-08-29 18:21:49,,,,
4208021,JBJ,walmart-us,,pending,,2018-08-29 18:21:48,,,,
4208022,X TEMP,walmart-us,,pending,,2018-08-29 18:21:48,,,,
4208023,Nantucket Bicycle Basket Co.,walmart-us,,pending,,2018-08-29 18:21:48,,,,
4208024,Liorina,walmart-us,,pending,,2018-08-29 18:21:48,,,,
4208025,Frame-A-Coin,walmart-us,,pending,,2018-08-29 18:21:48,,,,
4208016,Milwaukee Twins,walmart-us,,pending,,2018-08-29 18:21:47,,,,
4208017,Colehaan,walmart-us,,pending,,2018-08-29 18:21:47,,,,
4208018,Haband,walmart-us,,pending,,2018-08-29 18:21:47,,,,
4208019,Coleman Company,walmart-us,,pending,,2018-08-29 18:21:47,,,,
4208020,3-piece Polycarbonate Luggage Set,walmart-us,,pending,,2018-08-29 18:21:47,,,,
4208010,Prevail Per-Fit Men,walmart-us,,pending,,2018-08-29 18:21:46,,,,
4208011,NYDY,walmart-us,,pending,,2018-08-29 18:21:46,,,,
4208012,Castlevania 3,walmart-us,,pending,,2018-08-29 18:21:46,,,,
4208013,Steel Shank,walmart-us,,pending,,2018-08-29 18:21:46,,,,
4208014,CitiBoyz,walmart-us,,pending,,2018-08-29 18:21:46,,,,
4208015,Ocelot,walmart-us,,pending,,2018-08-29 18:21:46,,,,
4208008,SkyMall,walmart-us,,pending,,2018-08-29 18:21:45,,,,
4208009,SECOM,walmart-us,,pending,,2018-08-29 18:21:45,,,,
4208003,HandStands,walmart-us,,pending,,2018-08-29 18:21:41,,,,
4208004,Just My Style,walmart-us,,pending,,2018-08-29 18:21:41,,,,
4208005,The Vivace Collection,walmart-us,,pending,,2018-08-29 18:21:41,,,,
4208006,armor,walmart-us,,pending,,2018-08-29 18:21:41,,,,
4208000,Hi Pack,walmart-us,,pending,,2018-08-29 18:21:40,,,,
4208001,Sugar Sugar,walmart-us,,pending,,2018-08-29 18:21:40,,,,
4208002,Reba By Justin,walmart-us,,pending,,2018-08-29 18:21:40,,,,
4207996,Ty Inc,walmart-us,,pending,,2018-08-29 18:21:39,,,,
4207997,c clogs,walmart-us,,pending,,2018-08-29 18:21:39,,,,
4207998,Shopkin's,walmart-us,,pending,,2018-08-29 18:21:39,,,,
4207999,Kixies,walmart-us,,pending,,2018-08-29 18:21:39,,,,
4207993,JNCO-Jeans,walmart-us,,pending,,2018-08-29 18:21:38,,,,
4207994,Creative You,walmart-us,,pending,,2018-08-29 18:21:38,,,,
4207995,Cuddlbee,walmart-us,,pending,,2018-08-29 18:21:38,,,,
4207988,Portal 2,walmart-us,,pending,,2018-08-29 18:21:37,,,,
4207989,AVID Sportswear,walmart-us,,pending,,2018-08-29 18:21:37,,,,
4207990,Rock Band,walmart-us,,pending,,2018-08-29 18:21:37,,,,
4207991,OZERO,walmart-us,,pending,,2018-08-29 18:21:37,,,,
4207992,Sperian Protection Group,walmart-us,,pending,,2018-08-29 18:21:37,,,,
4207982,Hozoung,walmart-us,,pending,,2018-08-29 18:21:36,,,,
4207983,World Import Company,walmart-us,,pending,,2018-08-29 18:21:36,,,,
4207984,Team NHL,walmart-us,,pending,,2018-08-29 18:21:36,,,,
4207985,CARLOS,walmart-us,,pending,,2018-08-29 18:21:36,,,,
4207986,MasterLock,walmart-us,,pending,,2018-08-29 18:21:36,,,,
4207987,Mancro,walmart-us,,pending,,2018-08-29 18:21:36,,,,
4207977,Happy Holidays!,walmart-us,,pending,,2018-08-29 18:21:35,,,,
4207978,FRANCHISE NNW,walmart-us,,pending,,2018-08-29 18:21:35,,,,
4207979,Liberty Glove,walmart-us,,pending,,2018-08-29 18:21:35,,,,
4207980,So'dorable,walmart-us,,pending,,2018-08-29 18:21:35,,,,
4207981,goodideashop,walmart-us,,pending,,2018-08-29 18:21:35,,,,
4207975,Buneo Calif,walmart-us,,pending,,2018-08-29 18:21:31,,,,
4207976,Loopdedoo,walmart-us,,pending,,2018-08-29 18:21:31,,,,
4207970,Just for KiiX,walmart-us,,pending,,2018-08-29 18:21:30,,,,
4207971,"Martin Universal Design, Inc.",walmart-us,,pending,,2018-08-29 18:21:30,,,,
4207972,Happy Thanksgiving,walmart-us,,pending,,2018-08-29 18:21:30,,,,
4207973,Fun Little Toys,walmart-us,,pending,,2018-08-29 18:21:30,,,,
4207974,KING OF THE HILL,walmart-us,,pending,,2018-08-29 18:21:30,,,,
4207963,1F13X-S-700,walmart-us,,pending,,2018-08-29 18:21:29,,,,
4207964,ScoreBand,walmart-us,,pending,,2018-08-29 18:21:29,,,,
4207965,Bella BLVD,walmart-us,,pending,,2018-08-29 18:21:29,,,,
4207966,PRO-OPTICS,walmart-us,,pending,,2018-08-29 18:21:29,,,,
4207967,Tinseltown Denim Couture,walmart-us,,pending,,2018-08-29 18:21:29,,,,
4207968,Kool Breeze Solar Hat,walmart-us,,pending,,2018-08-29 18:21:29,,,,
4207969,emgo,walmart-us,,pending,,2018-08-29 18:21:29,,,,
4207957,KeyBak,walmart-us,,pending,,2018-08-29 18:21:28,,,,
4207958,Deporte,walmart-us,,pending,,2018-08-29 18:21:28,,,,
4207959,True Fit,walmart-us,,pending,,2018-08-29 18:21:28,,,,
4207960,51-106 MDBK,walmart-us,,pending,,2018-08-29 18:21:28,,,,
4207961,Murphy Robe,walmart-us,,pending,,2018-08-29 18:21:28,,,,
4207962,Rck Bella,walmart-us,,pending,,2018-08-29 18:21:28,,,,
4207953,KNR INC,walmart-us,,pending,,2018-08-29 18:21:27,,,,
4207954,Saxx Men's Underwear,walmart-us,,pending,,2018-08-29 18:21:27,,,,
4207955,Fashion Gloves,walmart-us,,pending,,2018-08-29 18:21:27,,,,
4207956,DC Collectibles,walmart-us,,pending,,2018-08-29 18:21:27,,,,
4207952,Sovereign Kids,walmart-us,,pending,,2018-08-29 18:21:26,,,,
4207950,INTIMO INC,walmart-us,,pending,,2018-08-29 18:21:22,,,,
4207951,Nike_Eye,walmart-us,,pending,,2018-08-29 18:21:22,,,,
4207949,Beba Bean,walmart-us,,pending,,2018-08-29 18:21:21,,,,
4207947,Baur Pacific Imports,walmart-us,,pending,,2018-08-29 18:21:20,,,,
4207948,American Diagnostic,walmart-us,,pending,,2018-08-29 18:21:20,,,,
4207946,Db Design,walmart-us,,pending,,2018-08-29 18:21:19,,,,
4207945,Deal Fashionista,walmart-us,,pending,,2018-08-29 18:21:18,,,,
4207943,TOPCHANCES,walmart-us,,pending,,2018-08-29 18:21:17,,,,
4207944,Fashion Craft,walmart-us,,pending,,2018-08-29 18:21:17,,,,
4207939,Everybright,walmart-us,,pending,,2018-08-29 18:21:15,,,,
4207940,Pro Pocket Headgear,walmart-us,,pending,,2018-08-29 18:21:15,,,,
4207941,1907 New Zealand,walmart-us,,pending,,2018-08-29 18:21:15,,,,
4207942,Club Fun™,walmart-us,,pending,,2018-08-29 18:21:15,,,,
